topic,date,distribution
Deportes y turismo,2019-10-07,0.09949958
Relaciones políticas entre México y Perú,2019-10-07,0.0104592
Aeropuertos y vuelos,2019-10-14,0.017130887
Ley y crimen,2019-10-14,0.055954378
La pandemia del COVID-19 y su impacto,2019-10-14,0.046730995
La industria petrolera,2019-10-14,0.09108085
Economía,2019-10-14,0.081864744
Tren Maya,2019-10-14,0.067015044
Salud y medicina,2019-10-14,0.023187753
Reformas políticas,2019-10-14,0.29273248
Fronteras e inmigración,2019-10-14,0.019313067
Energía y minería,2019-10-14,0.027416151
Vacunación,2019-10-14,0.13177077
Problemas sociales y justicia penal,2019-10-14,0.052949294
Deportes y turismo,2019-10-14,0.076416716
Relaciones políticas entre México y Perú,2019-10-14,0.01643685
Aeropuertos y vuelos,2019-10-21,0.033261675
Ley y crimen,2019-10-21,0.028637448
La pandemia del COVID-19 y su impacto,2019-10-21,0.048114605
La industria petrolera,2019-10-21,0.074847244
Economía,2019-10-21,0.09088928
Tren Maya,2019-10-21,0.19017418
Salud y medicina,2019-10-21,0.061360545
Reformas políticas,2019-10-21,0.14130314
Fronteras e inmigración,2019-10-21,0.036263503
Energía y minería,2019-10-21,0.03073082
Vacunación,2019-10-21,0.15128121
Problemas sociales y justicia penal,2019-10-21,0.03912797
Deportes y turismo,2019-10-21,0.04723537
Relaciones políticas entre México y Perú,2019-10-21,0.026773034
Aeropuertos y vuelos,2019-10-28,0.032098986
Ley y crimen,2019-10-28,0.040460683
La pandemia del COVID-19 y su impacto,2019-10-28,0.040783003
La industria petrolera,2019-10-28,0.09689142
Economía,2019-10-28,0.07825645
Tren Maya,2019-10-28,0.24738261
Salud y medicina,2019-10-28,0.032930333
Reformas políticas,2019-10-28,0.13405561
Fronteras e inmigración,2019-10-28,0.026166832
Energía y minería,2019-10-28,0.026734525
Vacunación,2019-10-28,0.10023233
Problemas sociales y justicia penal,2019-10-28,0.046779517
Deportes y turismo,2019-10-28,0.072856955
Relaciones políticas entre México y Perú,2019-10-28,0.024370743
Aeropuertos y vuelos,2019-11-11,0.037525762
Ley y crimen,2019-11-11,0.041717116
La pandemia del COVID-19 y su impacto,2019-11-11,0.055597827
La industria petrolera,2019-11-11,0.06269333
Economía,2019-11-11,0.079655476
Tren Maya,2019-11-11,0.063919194
Salud y medicina,2019-11-11,0.018328786
Reformas políticas,2019-11-11,0.13485749
Fronteras e inmigración,2019-11-11,0.031015888
Energía y minería,2019-11-11,0.02252713
Vacunación,2019-11-11,0.103477605
Problemas sociales y justicia penal,2019-11-11,0.038985953
Deportes y turismo,2019-11-11,0.04574398
Relaciones políticas entre México y Perú,2019-11-11,0.26395443
Aeropuertos y vuelos,2019-11-18,0.04661867
Ley y crimen,2019-11-18,0.16579863
La pandemia del COVID-19 y su impacto,2019-11-18,0.048992075
La industria petrolera,2019-11-18,0.08381626
Economía,2019-11-18,0.12426613
Tren Maya,2019-11-18,0.041475635
Salud y medicina,2019-11-18,0.02365359
Reformas políticas,2019-11-18,0.1472962
Fronteras e inmigración,2019-11-18,0.02469808
Energía y minería,2019-11-18,0.022580888
Vacunación,2019-11-18,0.107645236
Problemas sociales y justicia penal,2019-11-18,0.048684772
Deportes y turismo,2019-11-18,0.0644764
Relaciones políticas entre México y Perú,2019-11-18,0.049997427
Aeropuertos y vuelos,2019-11-25,0.026020521
Ley y crimen,2019-11-25,0.037385613
La pandemia del COVID-19 y su impacto,2019-11-25,0.060925018
La industria petrolera,2019-11-25,0.07913729
Economía,2019-11-25,0.31152397
Tren Maya,2019-11-25,0.030408414
Salud y medicina,2019-11-25,0.019992534
Reformas políticas,2019-11-25,0.13522334
Fronteras e inmigración,2019-11-25,0.044427585
Energía y minería,2019-11-25,0.041940853
Vacunación,2019-11-25,0.08364775
Problemas sociales y justicia penal,2019-11-25,0.04404331
Deportes y turismo,2019-11-25,0.058727756
Relaciones políticas entre México y Perú,2019-11-25,0.026596026
Aeropuertos y vuelos,2019-12-02,0.019729238
Ley y crimen,2019-12-02,0.022976141
La pandemia del COVID-19 y su impacto,2019-12-02,0.053972777
La industria petrolera,2019-12-02,0.09068576
Economía,2019-12-02,0.4671421
Tren Maya,2019-12-02,0.02766468
Salud y medicina,2019-12-02,0.00866054
Reformas políticas,2019-12-02,0.11150097
Fronteras e inmigración,2019-12-02,0.02842007
Energía y minería,2019-12-02,0.029314784
Vacunación,2019-12-02,0.07057638
Problemas sociales y justicia penal,2019-12-02,0.03592372
Deportes y turismo,2019-12-02,0.018453056
Relaciones políticas entre México y Perú,2019-12-02,0.014979786
Aeropuertos y vuelos,2019-12-09,0.014959416
Ley y crimen,2019-12-09,0.026277246
La pandemia del COVID-19 y su impacto,2019-12-09,0.05174001
La industria petrolera,2019-12-09,0.07878652
Economía,2019-12-09,0.33414632
Tren Maya,2019-12-09,0.039507337
Salud y medicina,2019-12-09,0.028873669
Reformas políticas,2019-12-09,0.11761972
Fronteras e inmigración,2019-12-09,0.012771412
Energía y minería,2019-12-09,0.07159378
Vacunación,2019-12-09,0.1270493
Problemas sociales y justicia penal,2019-12-09,0.031820223
Deportes y turismo,2019-12-09,0.052192688
Relaciones políticas entre México y Perú,2019-12-09,0.012662335
Aeropuertos y vuelos,2019-12-16,0.015048005
Ley y crimen,2019-12-16,0.03264937
La pandemia del COVID-19 y su impacto,2019-12-16,0.06891616
La industria petrolera,2019-12-16,0.071432196
Economía,2019-12-16,0.092062786
Tren Maya,2019-12-16,0.08270166
Salud y medicina,2019-12-16,0.03505961
Reformas políticas,2019-12-16,0.14342919
Fronteras e inmigración,2019-12-16,0.031167386
Energía y minería,2019-12-16,0.052153587
Vacunación,2019-12-16,0.26953292
Problemas sociales y justicia penal,2019-12-16,0.04850875
Deportes y turismo,2019-12-16,0.03820843
Relaciones políticas entre México y Perú,2019-12-16,0.019129995
Aeropuertos y vuelos,2019-12-23,0.02785775
Ley y crimen,2019-12-23,0.21436639
La pandemia del COVID-19 y su impacto,2019-12-23,0.055039655
La industria petrolera,2019-12-23,0.054567665
Economía,2019-12-23,0.09621243
Tren Maya,2019-12-23,0.034339346
Salud y medicina,2019-12-23,0.03948623
Reformas políticas,2019-12-23,0.076410025
Fronteras e inmigración,2019-12-23,0.05494738
Energía y minería,2019-12-23,0.036425885
Vacunación,2019-12-23,0.10859156
Problemas sociales y justicia penal,2019-12-23,0.048136484
Deportes y turismo,2019-12-23,0.044251475
Relaciones políticas entre México y Perú,2019-12-23,0.109367736
Aeropuertos y vuelos,2019-12-30,0.021091416
Ley y crimen,2019-12-30,0.024912518
La pandemia del COVID-19 y su impacto,2019-12-30,0.042392366
La industria petrolera,2019-12-30,0.30224222
Economía,2019-12-30,0.07822559
Tren Maya,2019-12-30,0.03184145
Salud y medicina,2019-12-30,0.035102375
Reformas políticas,2019-12-30,0.111631006
Fronteras e inmigración,2019-12-30,0.016396781
Energía y minería,2019-12-30,0.02745773
Vacunación,2019-12-30,0.18507661
Problemas sociales y justicia penal,2019-12-30,0.0595271
Deportes y turismo,2019-12-30,0.03422634
Relaciones políticas entre México y Perú,2019-12-30,0.029876452
Aeropuertos y vuelos,2020-01-06,0.01307136
Ley y crimen,2020-01-06,0.12811011
La pandemia del COVID-19 y su impacto,2020-01-06,0.0071908007
La industria petrolera,2020-01-06,0.018260749
Economía,2020-01-06,0.0485921
Tren Maya,2020-01-06,0.023129417
Salud y medicina,2020-01-06,0.14415704
Reformas políticas,2020-01-06,0.08129069
Fronteras e inmigración,2020-01-06,0.12476304
Energía y minería,2020-01-06,0.03792736
Vacunación,2020-01-06,0.23443155
Problemas sociales y justicia penal,2020-01-06,0.034210782
Deportes y turismo,2020-01-06,0.055585194
Relaciones políticas entre México y Perú,2020-01-06,0.049279787
Aeropuertos y vuelos,2020-01-13,0.021672295
Ley y crimen,2020-01-13,0.023807596
La pandemia del COVID-19 y su impacto,2020-01-13,0.05560781
La industria petrolera,2020-01-13,0.111523755
Economía,2020-01-13,0.10097932
Tren Maya,2020-01-13,0.06178668
Salud y medicina,2020-01-13,0.2533967
Reformas políticas,2020-01-13,0.10325185
Fronteras e inmigración,2020-01-13,0.021831965
Energía y minería,2020-01-13,0.026227813
Vacunación,2020-01-13,0.11601317
Problemas sociales y justicia penal,2020-01-13,0.045119695
Deportes y turismo,2020-01-13,0.042743836
Relaciones políticas entre México y Perú,2020-01-13,0.016037524
Aeropuertos y vuelos,2020-01-20,0.020668838
Ley y crimen,2020-01-20,0.030583678
La pandemia del COVID-19 y su impacto,2020-01-20,0.057337392
La industria petrolera,2020-01-20,0.08181587
Economía,2020-01-20,0.056296144
Tren Maya,2020-01-20,0.05989325
Salud y medicina,2020-01-20,0.3343216
Reformas políticas,2020-01-20,0.09000701
Fronteras e inmigración,2020-01-20,0.027039085
Energía y minería,2020-01-20,0.018129233
Vacunación,2020-01-20,0.1242271
Problemas sociales y justicia penal,2020-01-20,0.05386747
Deportes y turismo,2020-01-20,0.029653253
Relaciones políticas entre México y Perú,2020-01-20,0.016160084
Aeropuertos y vuelos,2020-01-27,0.023816992
Ley y crimen,2020-01-27,0.031973388
La pandemia del COVID-19 y su impacto,2020-01-27,0.077618025
La industria petrolera,2020-01-27,0.08969472
Economía,2020-01-27,0.08111166
Tren Maya,2020-01-27,0.03931333
Salud y medicina,2020-01-27,0.24112032
Reformas políticas,2020-01-27,0.095140435
Fronteras e inmigración,2020-01-27,0.038095895
Energía y minería,2020-01-27,0.062327333
Vacunación,2020-01-27,0.12265411
Problemas sociales y justicia penal,2020-01-27,0.04500992
Deportes y turismo,2020-01-27,0.038480558
Relaciones políticas entre México y Perú,2020-01-27,0.013643318
Aeropuertos y vuelos,2020-02-03,0.0065069697
Ley y crimen,2020-02-03,0.0720127
La pandemia del COVID-19 y su impacto,2020-02-03,0.04831251
La industria petrolera,2020-02-03,0.16912204
Economía,2020-02-03,0.038675293
Tren Maya,2020-02-03,0.007389428
Salud y medicina,2020-02-03,0.0061820187
Reformas políticas,2020-02-03,0.017209977
Fronteras e inmigración,2020-02-03,0.40337822
Energía y minería,2020-02-03,0.06539616
Vacunación,2020-02-03,0.052134003
Problemas sociales y justicia penal,2020-02-03,0.010255502
Deportes y turismo,2020-02-03,0.10287368
Relaciones políticas entre México y Perú,2020-02-03,0.00055150513
Aeropuertos y vuelos,2020-02-10,0.017552137
Ley y crimen,2020-02-10,0.04063245
La pandemia del COVID-19 y su impacto,2020-02-10,0.058613427
La industria petrolera,2020-02-10,0.07167911
Economía,2020-02-10,0.09308541
Tren Maya,2020-02-10,0.032540467
Salud y medicina,2020-02-10,0.073449165
Reformas políticas,2020-02-10,0.1187032
Fronteras e inmigración,2020-02-10,0.050852846
Energía y minería,2020-02-10,0.03265396
Vacunación,2020-02-10,0.12238413
Problemas sociales y justicia penal,2020-02-10,0.036494825
Deportes y turismo,2020-02-10,0.06198655
Relaciones políticas entre México y Perú,2020-02-10,0.18937232
Aeropuertos y vuelos,2020-02-17,0.024124058
Ley y crimen,2020-02-17,0.027413636
La pandemia del COVID-19 y su impacto,2020-02-17,0.04975338
La industria petrolera,2020-02-17,0.101551875
Economía,2020-02-17,0.07375227
Tren Maya,2020-02-17,0.034824997
Salud y medicina,2020-02-17,0.0721569
Reformas políticas,2020-02-17,0.12367548
Fronteras e inmigración,2020-02-17,0.026944483
Energía y minería,2020-02-17,0.16076423
Vacunación,2020-02-17,0.16027528
Problemas sociales y justicia penal,2020-02-17,0.05491275
Deportes y turismo,2020-02-17,0.063129164
Relaciones políticas entre México y Perú,2020-02-17,0.026721478
Aeropuertos y vuelos,2020-02-24,0.03024097
Ley y crimen,2020-02-24,0.023725923
La pandemia del COVID-19 y su impacto,2020-02-24,0.07514919
La industria petrolera,2020-02-24,0.068164684
Economía,2020-02-24,0.106859624
Tren Maya,2020-02-24,0.036467843
Salud y medicina,2020-02-24,0.25166517
Reformas políticas,2020-02-24,0.09728013
Fronteras e inmigración,2020-02-24,0.025784338
Energía y minería,2020-02-24,0.03183771
Vacunación,2020-02-24,0.13814297
Problemas sociales y justicia penal,2020-02-24,0.044786114
Deportes y turismo,2020-02-24,0.051834814
Relaciones políticas entre México y Perú,2020-02-24,0.018060463
Aeropuertos y vuelos,2020-03-02,0.027592132
Ley y crimen,2020-03-02,0.025391614
La pandemia del COVID-19 y su impacto,2020-03-02,0.17793697
La industria petrolera,2020-03-02,0.0685983
Economía,2020-03-02,0.16963924
Tren Maya,2020-03-02,0.038337767
Salud y medicina,2020-03-02,0.12918495
Reformas políticas,2020-03-02,0.091736205
Fronteras e inmigración,2020-03-02,0.017974626
Energía y minería,2020-03-02,0.019335253
Vacunación,2020-03-02,0.13082606
Problemas sociales y justicia penal,2020-03-02,0.03674344
Deportes y turismo,2020-03-02,0.04528445
Relaciones políticas entre México y Perú,2020-03-02,0.021418964
Aeropuertos y vuelos,2020-03-09,0.033075426
Ley y crimen,2020-03-09,0.02113508
La pandemia del COVID-19 y su impacto,2020-03-09,0.3595351
La industria petrolera,2020-03-09,0.070287555
Economía,2020-03-09,0.07177688
Tren Maya,2020-03-09,0.041789707
Salud y medicina,2020-03-09,0.08085444
Reformas políticas,2020-03-09,0.07837151
Fronteras e inmigración,2020-03-09,0.022494256
Energía y minería,2020-03-09,0.029129937
Vacunación,2020-03-09,0.1312983
Problemas sociales y justicia penal,2020-03-09,0.019512944
Deportes y turismo,2020-03-09,0.02660312
Relaciones políticas entre México y Perú,2020-03-09,0.014135719
Aeropuertos y vuelos,2020-03-16,0.09572971
Ley y crimen,2020-03-16,0.019853655
La pandemia del COVID-19 y su impacto,2020-03-16,0.18170421
La industria petrolera,2020-03-16,0.072532386
Economía,2020-03-16,0.09011679
Tren Maya,2020-03-16,0.079775326
Salud y medicina,2020-03-16,0.051710185
Reformas políticas,2020-03-16,0.06564098
Fronteras e inmigración,2020-03-16,0.03574485
Energía y minería,2020-03-16,0.031724803
Vacunación,2020-03-16,0.12576668
Problemas sociales y justicia penal,2020-03-16,0.03427476
Deportes y turismo,2020-03-16,0.097336374
Relaciones políticas entre México y Perú,2020-03-16,0.018089313
Aeropuertos y vuelos,2020-03-23,0.0612914
Ley y crimen,2020-03-23,0.025454301
La pandemia del COVID-19 y su impacto,2020-03-23,0.10162856
La industria petrolera,2020-03-23,0.096717216
Economía,2020-03-23,0.09561449
Tren Maya,2020-03-23,0.052649688
Salud y medicina,2020-03-23,0.045304865
Reformas políticas,2020-03-23,0.11347598
Fronteras e inmigración,2020-03-23,0.1250103
Energía y minería,2020-03-23,0.026311833
Vacunación,2020-03-23,0.15042585
Problemas sociales y justicia penal,2020-03-23,0.051459815
Deportes y turismo,2020-03-23,0.034652945
Relaciones políticas entre México y Perú,2020-03-23,0.020002807
Aeropuertos y vuelos,2020-03-30,0.31885165
Ley y crimen,2020-03-30,0.01149008
La pandemia del COVID-19 y su impacto,2020-03-30,0.08000964
La industria petrolera,2020-03-30,0.08366365
Economía,2020-03-30,0.07889468
Tren Maya,2020-03-30,0.028148273
Salud y medicina,2020-03-30,0.024923993
Reformas políticas,2020-03-30,0.11317734
Fronteras e inmigración,2020-03-30,0.03497706
Energía y minería,2020-03-30,0.025492104
Vacunación,2020-03-30,0.10269668
Problemas sociales y justicia penal,2020-03-30,0.04594479
Deportes y turismo,2020-03-30,0.032377657
Relaciones políticas entre México y Perú,2020-03-30,0.019352425
Aeropuertos y vuelos,2020-04-06,0.024763448
Ley y crimen,2020-04-06,0.0033131742
La pandemia del COVID-19 y su impacto,2020-04-06,0.10077866
La industria petrolera,2020-04-06,0.16858816
Economía,2020-04-06,0.08660743
Tren Maya,2020-04-06,0.0005352374
Salud y medicina,2020-04-06,0.0001331745
Reformas políticas,2020-04-06,0.09007809
Fronteras e inmigración,2020-04-06,0.00012110609
Energía y minería,2020-04-06,0.01351139
Vacunación,2020-04-06,0.096305765
Problemas sociales y justicia penal,2020-04-06,0.0055740504
Deportes y turismo,2020-04-06,0.39884847
Relaciones políticas entre México y Perú,2020-04-06,0.010841835
Aeropuertos y vuelos,2020-04-13,0.041497894
Ley y crimen,2020-04-13,0.012948526
La pandemia del COVID-19 y su impacto,2020-04-13,0.30915052
La industria petrolera,2020-04-13,0.08718968
Economía,2020-04-13,0.100053765
Tren Maya,2020-04-13,0.029515587
Salud y medicina,2020-04-13,0.052795224
Reformas políticas,2020-04-13,0.07880421
Fronteras e inmigración,2020-04-13,0.023185968
Energía y minería,2020-04-13,0.01654256
Vacunación,2020-04-13,0.16569869
Problemas sociales y justicia penal,2020-04-13,0.029610472
Deportes y turismo,2020-04-13,0.034988202
Relaciones políticas entre México y Perú,2020-04-13,0.018018639
Aeropuertos y vuelos,2020-04-20,0.05248964
Ley y crimen,2020-04-20,0.017348628
La pandemia del COVID-19 y su impacto,2020-04-20,0.07252042
La industria petrolera,2020-04-20,0.08932623
Economía,2020-04-20,0.24957666
Tren Maya,2020-04-20,0.043916922
Salud y medicina,2020-04-20,0.035985976
Reformas políticas,2020-04-20,0.115479074
Fronteras e inmigración,2020-04-20,0.028852412
Energía y minería,2020-04-20,0.027687555
Vacunación,2020-04-20,0.16130064
Problemas sociales y justicia penal,2020-04-20,0.037968013
Deportes y turismo,2020-04-20,0.04750155
Relaciones políticas entre México y Perú,2020-04-20,0.020046247
Aeropuertos y vuelos,2020-04-27,0.048270486
Ley y crimen,2020-04-27,0.017374234
La pandemia del COVID-19 y su impacto,2020-04-27,0.11931154
La industria petrolera,2020-04-27,0.07161011
Economía,2020-04-27,0.11362587
Tren Maya,2020-04-27,0.033756632
Salud y medicina,2020-04-27,0.09811697
Reformas políticas,2020-04-27,0.16320664
Fronteras e inmigración,2020-04-27,0.016713437
Energía y minería,2020-04-27,0.022219835
Vacunación,2020-04-27,0.19924131
Problemas sociales y justicia penal,2020-04-27,0.041034468
Deportes y turismo,2020-04-27,0.033436008
Relaciones políticas entre México y Perú,2020-04-27,0.02208249
Aeropuertos y vuelos,2020-05-11,0.0375122
Ley y crimen,2020-05-11,0.015053489
La pandemia del COVID-19 y su impacto,2020-05-11,0.08126166
La industria petrolera,2020-05-11,0.107656
Economía,2020-05-11,0.12359133
Tren Maya,2020-05-11,0.03374339
Salud y medicina,2020-05-11,0.05921085
Reformas políticas,2020-05-11,0.10519218
Fronteras e inmigración,2020-05-11,0.015557384
Energía y minería,2020-05-11,0.018798282
Vacunación,2020-05-11,0.32459474
Problemas sociales y justicia penal,2020-05-11,0.031700198
Deportes y turismo,2020-05-11,0.0292649
Relaciones políticas entre México y Perú,2020-05-11,0.016863428
Aeropuertos y vuelos,2020-05-18,0.04866198
Ley y crimen,2020-05-18,0.017726691
La pandemia del COVID-19 y su impacto,2020-05-18,0.06698144
La industria petrolera,2020-05-18,0.08889129
Economía,2020-05-18,0.19155501
Tren Maya,2020-05-18,0.0590268
Salud y medicina,2020-05-18,0.03265393
Reformas políticas,2020-05-18,0.16205822
Fronteras e inmigración,2020-05-18,0.020508517
Energía y minería,2020-05-18,0.029346483
Vacunación,2020-05-18,0.16959383
Problemas sociales y justicia penal,2020-05-18,0.045570947
Deportes y turismo,2020-05-18,0.045407336
Relaciones políticas entre México y Perú,2020-05-18,0.022017496
Aeropuertos y vuelos,2020-05-25,0.046970308
Ley y crimen,2020-05-25,0.020840801
La pandemia del COVID-19 y su impacto,2020-05-25,0.076392755
La industria petrolera,2020-05-25,0.10070588
Economía,2020-05-25,0.1088651
Tren Maya,2020-05-25,0.058112476
Salud y medicina,2020-05-25,0.05398653
Reformas políticas,2020-05-25,0.08871035
Fronteras e inmigración,2020-05-25,0.022218147
Energía y minería,2020-05-25,0.034080185
Vacunación,2020-05-25,0.29320943
Problemas sociales y justicia penal,2020-05-25,0.041746687
Deportes y turismo,2020-05-25,0.04126883
Relaciones políticas entre México y Perú,2020-05-25,0.012892476
Aeropuertos y vuelos,2020-06-01,0.02900662
Ley y crimen,2020-06-01,0.011116192
La pandemia del COVID-19 y su impacto,2020-06-01,0.073693156
La industria petrolera,2020-06-01,0.07236063
Economía,2020-06-01,0.08077016
Tren Maya,2020-06-01,0.2688064
Salud y medicina,2020-06-01,0.032390095
Reformas políticas,2020-06-01,0.078006
Fronteras e inmigración,2020-06-01,0.016915414
Energía y minería,2020-06-01,0.031189522
Vacunación,2020-06-01,0.2040319
Problemas sociales y justicia penal,2020-06-01,0.03804059
Deportes y turismo,2020-06-01,0.049019083
Relaciones políticas entre México y Perú,2020-06-01,0.014654235
Aeropuertos y vuelos,2020-06-08,0.23282926
Ley y crimen,2020-06-08,0.021444011
La pandemia del COVID-19 y su impacto,2020-06-08,0.06601642
La industria petrolera,2020-06-08,0.083035596
Economía,2020-06-08,0.069827855
Tren Maya,2020-06-08,0.037074886
Salud y medicina,2020-06-08,0.016515164
Reformas políticas,2020-06-08,0.102834
Fronteras e inmigración,2020-06-08,0.016551469
Energía y minería,2020-06-08,0.04314186
Vacunación,2020-06-08,0.21059558
Problemas sociales y justicia penal,2020-06-08,0.050595317
Deportes y turismo,2020-06-08,0.03611836
Relaciones políticas entre México y Perú,2020-06-08,0.013420262
Aeropuertos y vuelos,2020-06-15,0.049772814
Ley y crimen,2020-06-15,0.030065501
La pandemia del COVID-19 y su impacto,2020-06-15,0.08880682
La industria petrolera,2020-06-15,0.11774044
Economía,2020-06-15,0.061571393
Tren Maya,2020-06-15,0.049993433
Salud y medicina,2020-06-15,0.033997733
Reformas políticas,2020-06-15,0.09194972
Fronteras e inmigración,2020-06-15,0.023609724
Energía y minería,2020-06-15,0.029578876
Vacunación,2020-06-15,0.18312818
Problemas sociales y justicia penal,2020-06-15,0.16965196
Deportes y turismo,2020-06-15,0.043272935
Relaciones políticas entre México y Perú,2020-06-15,0.026860515
Aeropuertos y vuelos,2020-06-22,0.043780413
Ley y crimen,2020-06-22,0.020005634
La pandemia del COVID-19 y su impacto,2020-06-22,0.067728505
La industria petrolera,2020-06-22,0.08055738
Economía,2020-06-22,0.070210405
Tren Maya,2020-06-22,0.041881572
Salud y medicina,2020-06-22,0.037007604
Reformas políticas,2020-06-22,0.09262221
Fronteras e inmigración,2020-06-22,0.021097647
Energía y minería,2020-06-22,0.04985573
Vacunación,2020-06-22,0.36892477
Problemas sociales y justicia penal,2020-06-22,0.05752591
Deportes y turismo,2020-06-22,0.032957703
Relaciones políticas entre México y Perú,2020-06-22,0.015844539
Aeropuertos y vuelos,2020-06-29,0.035311304
Ley y crimen,2020-06-29,0.022531869
La pandemia del COVID-19 y su impacto,2020-06-29,0.06598327
La industria petrolera,2020-06-29,0.09129175
Economía,2020-06-29,0.14210033
Tren Maya,2020-06-29,0.036963787
Salud y medicina,2020-06-29,0.117082514
Reformas políticas,2020-06-29,0.11376528
Fronteras e inmigración,2020-06-29,0.028903209
Energía y minería,2020-06-29,0.07372505
Vacunación,2020-06-29,0.18326673
Problemas sociales y justicia penal,2020-06-29,0.0389269
Deportes y turismo,2020-06-29,0.030324813
Relaciones políticas entre México y Perú,2020-06-29,0.019823229
Aeropuertos y vuelos,2020-07-06,0.023968259
Ley y crimen,2020-07-06,0.02564175
La pandemia del COVID-19 y su impacto,2020-07-06,0.07477641
La industria petrolera,2020-07-06,0.07227592
Economía,2020-07-06,0.37117594
Tren Maya,2020-07-06,0.03233052
Salud y medicina,2020-07-06,0.040971804
Reformas políticas,2020-07-06,0.080541864
Fronteras e inmigración,2020-07-06,0.031466212
Energía y minería,2020-07-06,0.044028893
Vacunación,2020-07-06,0.1193582
Problemas sociales y justicia penal,2020-07-06,0.033368222
Deportes y turismo,2020-07-06,0.027672479
Relaciones políticas entre México y Perú,2020-07-06,0.022423485
Aeropuertos y vuelos,2020-07-13,0.03399102
Ley y crimen,2020-07-13,0.0254304
La pandemia del COVID-19 y su impacto,2020-07-13,0.07212253
La industria petrolera,2020-07-13,0.07760495
Economía,2020-07-13,0.08522282
Tren Maya,2020-07-13,0.033418123
Salud y medicina,2020-07-13,0.055683456
Reformas políticas,2020-07-13,0.09252312
Fronteras e inmigración,2020-07-13,0.024539152
Energía y minería,2020-07-13,0.05010443
Vacunación,2020-07-13,0.34044287
Problemas sociales y justicia penal,2020-07-13,0.0661065
Deportes y turismo,2020-07-13,0.023415118
Relaciones políticas entre México y Perú,2020-07-13,0.019395556
Aeropuertos y vuelos,2020-07-20,0.035320945
Ley y crimen,2020-07-20,0.06950244
La pandemia del COVID-19 y su impacto,2020-07-20,0.078224435
La industria petrolera,2020-07-20,0.079093955
Economía,2020-07-20,0.1827002
Tren Maya,2020-07-20,0.05344126
Salud y medicina,2020-07-20,0.04927455
Reformas políticas,2020-07-20,0.09871069
Fronteras e inmigración,2020-07-20,0.021797594
Energía y minería,2020-07-20,0.02878919
Vacunación,2020-07-20,0.18696779
Problemas sociales y justicia penal,2020-07-20,0.057546843
Deportes y turismo,2020-07-20,0.043389406
Relaciones políticas entre México y Perú,2020-07-20,0.015240694
Aeropuertos y vuelos,2020-07-27,0.026819546
Ley y crimen,2020-07-27,0.025406538
La pandemia del COVID-19 y su impacto,2020-07-27,0.07043763
La industria petrolera,2020-07-27,0.08114123
Economía,2020-07-27,0.07180059
Tren Maya,2020-07-27,0.04708488
Salud y medicina,2020-07-27,0.27417034
Reformas políticas,2020-07-27,0.09203354
Fronteras e inmigración,2020-07-27,0.017844956
Energía y minería,2020-07-27,0.026234588
Vacunación,2020-07-27,0.15958647
Problemas sociales y justicia penal,2020-07-27,0.033270758
Deportes y turismo,2020-07-27,0.047896057
Relaciones políticas entre México y Perú,2020-07-27,0.026272818
Aeropuertos y vuelos,2020-08-03,0.043738343
Ley y crimen,2020-08-03,0.020852912
La pandemia del COVID-19 y su impacto,2020-08-03,0.08345664
La industria petrolera,2020-08-03,0.08646444
Economía,2020-08-03,0.05926316
Tren Maya,2020-08-03,0.054286
Salud y medicina,2020-08-03,0.031382896
Reformas políticas,2020-08-03,0.30856007
Fronteras e inmigración,2020-08-03,0.010779495
Energía y minería,2020-08-03,0.032187298
Vacunación,2020-08-03,0.17809366
Problemas sociales y justicia penal,2020-08-03,0.038714416
Deportes y turismo,2020-08-03,0.042137846
Relaciones políticas entre México y Perú,2020-08-03,0.010082808
Aeropuertos y vuelos,2020-08-10,0.030909207
Ley y crimen,2020-08-10,0.10409972
La pandemia del COVID-19 y su impacto,2020-08-10,0.12203554
La industria petrolera,2020-08-10,0.07856004
Economía,2020-08-10,0.07811309
Tren Maya,2020-08-10,0.038666997
Salud y medicina,2020-08-10,0.045576625
Reformas políticas,2020-08-10,0.08723648
Fronteras e inmigración,2020-08-10,0.020095319
Energía y minería,2020-08-10,0.017345455
Vacunación,2020-08-10,0.2754245
Problemas sociales y justicia penal,2020-08-10,0.027529249
Deportes y turismo,2020-08-10,0.039596967
Relaciones políticas entre México y Perú,2020-08-10,0.03481077
Aeropuertos y vuelos,2020-08-17,0.029517664
Ley y crimen,2020-08-17,0.031474765
La pandemia del COVID-19 y su impacto,2020-08-17,0.074943356
La industria petrolera,2020-08-17,0.22330244
Economía,2020-08-17,0.054040257
Tren Maya,2020-08-17,0.05659541
Salud y medicina,2020-08-17,0.049678396
Reformas políticas,2020-08-17,0.11561166
Fronteras e inmigración,2020-08-17,0.01842368
Energía y minería,2020-08-17,0.037879545
Vacunación,2020-08-17,0.1859598
Problemas sociales y justicia penal,2020-08-17,0.051463615
Deportes y turismo,2020-08-17,0.046930294
Relaciones políticas entre México y Perú,2020-08-17,0.024179071
Aeropuertos y vuelos,2020-08-24,0.029725902
Ley y crimen,2020-08-24,0.016955342
La pandemia del COVID-19 y su impacto,2020-08-24,0.25061765
La industria petrolera,2020-08-24,0.106445074
Economía,2020-08-24,0.06926986
Tren Maya,2020-08-24,0.042488683
Salud y medicina,2020-08-24,0.03285034
Reformas políticas,2020-08-24,0.09142164
Fronteras e inmigración,2020-08-24,0.023812456
